Kalimat,Tingkat Pemahaman
"Pramuka dunia didirikan pada tanggal 25 Juli 1907, yang saat itu Robert Baden Powell menjabat sebagai Letnan Jenderal militer Inggris mengadakan perkemahan.",Sudah Mahir
"Diketahui sejak kecil, Robert Baden Powell menaruh perhatian pada alam dan sangat suka menjelajah hutan yang ada di sekitar sekolahnya.",Sudah Mahir
"Ketika dia bekerja sebagai seorang perwira militer dan ditugaskan ke berbagai peperangan, ia ditugaskan untuk memimpin kepanduan.",Sudah Mahir
"Setelah perang, Robert Baden Powell mengelola Aids to Scouting bagi anggota muda dan mengadakan kegiatan perkemahan selama 8 hari di Pulau Brownsea.",Sudah Mahir
"Pulau Brownsea merupakan pulau terbesar di pelabuhan Poole, Dorset, Inggris.",Berkembang Sedang
"Satu tahun setelah perkemahan, Robert Baden Powell menulis buku yang berjudul “Scouting for Boys” yang menceritakan tentang prinsip dasar kepramukaan.",Sudah Mahir
"Selain itu, Robert Baden Powell juga mendirikan gerakan kepanduan yang hanya diikuti oleh laki-laki yaitu Scouting for Boys.",Sudah Mahir
Buku panduan gerakan kepanduan ini karyanya menyebar ke seluruh dunia dengan berbagai macam bahasa.,Belum Berkembang
"Pada 1910, Baden Powell memutuskan pensiun dari tentara dan mencurahkan seluruh waktunya untuk Pramuka.",Sudah Mahir
"Pada 1912, bersama adiknya, Agnes, Baden Powell membentuk Pramuka untuk perempuan yang disebut Girls Guides, yang kemudian dikenal dengan nama Girl Scouts.",Sudah Mahir
"Empat tahun kemudian, pada 1916, didirikan kelompok Pramuka siaga dengan nama CUB (Anak Serigala).",Belum Berkembang
"Pedoman kegiatannya dilaksanakan berdasarkan buku yang berjudul “The Jungle Book”, karya Rudya Kipling.",Sudah Mahir
Kepanduan yang semakin berkembang membuat Robert Baden Powell membentuk Rover Scout yaitu organisasi yang mewadahi pemuda yang telah berusia 17 tahun pada tahun 1918.,Sudah Mahir
"Pada tahun 1920 diadakanlah Jambore Dunia pertama yang dilaksanakan di Olympia Hall, London.",Sudah Mahir
Beliau mengundang pramuka dari 27 negara untuk ikut serta dalam acara tersebut.,Sudah Mahir
"Saat itu pulalah, Baden Powell diangkat sebagai Bapak Pandu Sedunia (Chief Scout of The World).",Belum Berkembang
Berikut rentetan tahun kegiatan Jambore Dunia pernah dilakukan hingga saat ini.,Berkembang Sedang
"Sedangkan di Indonesia sendiri, Pramuka diawali dengan munculnya kepanduan milik Belanda yang bernama NPO (Netherlandesche Padvinders Organisatie) pada tahun 1912.",Sudah Mahir
"Pada tahun 1916, NPO ini berubah namanya menjadi NIPV atau Netherland Indische Padvinders Vereeniging (Persatuan Pandu Hindia Belanda.",Berkembang Sedang
"Di tahun yang sama, Mangkunegara VII membentuk organisasi kepanduan pertama di Indonesia dengan nama JPO (Javaansche Padvinder Organisatie).",Sudah Mahir
"Dengan lahirnya JPO ini, memicu pergerakan nasional untuk membuat organisasi kepanduan lainnya hingga akhirnya dilarang oleh Belanda.Walaupun begitu, tokoh-tokoh pejuang Indonesia masih ada jalan dan membuat kepanduan semakin berkembang dan pada tahun 1938 dibentuklah sebuah forum untuk semua kepanduan yaitu BPPKI (Badan Pusat Persaudaraan Kepanduan Indonesia).",Sudah Mahir
"Kemudian pada tanggal 14 Agustus 1961, melalui Keputusan Presiden Republik Indonesia Nomor 448 Tahun 1961, Panji Gerakan Pramuka ditetapkan oleh presiden Soekarno.Sejak saat itulah, tanggal 14 Agustus 1961 ditetapkan sebagai Hari Lahir Gerakan Pramuka yang merupakan symbol persatuan kepanduan Indonesia.",Sudah Mahir
"Stato della Citta del Vaticano atau Negara Kota Vatikan merupakan salah satu negara di Eropa Selatan, tepatnya berada di dalam Kota Roma, Italia.",Berkembang Sedang
"Meskipun berada di dalam bagian kota sebuah negara, Negara Kota Vatikan merupakan negara yang telah merdeka sejak tahun 1929.",Sudah Mahir
"Sebelum merdeka, Negara Kota Vatikan memang berada di bawah naungan Kekaisaran Romawi.",Sudah Mahir
"Setelah melewati beberapa era, seperti era Kekaisaran Romawi, Abad Pertengahan, Era Renaisans, hingga Era Modern.",Sudah Mahir
